NO;SOAL;A;B;C;D;E;KUNCI;PEMBAHASAN;
11;Manfaat dilakukan rawat gabung antara ibu dan bayi adalah;Mempersulit bayi dalam menyusu;Membantu involusi uterus;Meningkatkan pemakaian susu formula;Meningkatkan infeksi nosokomial;Perhatian ibu akan bayi menjadi terbagi;2;Manfaat dilakukan rawat gabung antara ibu dan bayi adalah membantu involusi uterus  ( pengecilan rahim seperti bentuk sebelum hamil ). Isapan bayi dapat merangsang terjadinya kontraksi uterus sehingga involusi uterus akan lebih cepat;
12;Pemberian ASI pada bayi sebaiknya dilakukan setiap ;5-7 menit;1 jam sekali;On demand;2 jam sekali;Tidak perlu disusui;3;Pemberian ASI pada bayi sebaikknya dilakukan dengan konsep on demand, yaitu menyusui kapan pun bayi ingin menyusu, baik itu malam maupun siang hari. Hal tersebut akan membantu pertumbuhan dan perkembangan bayi. Keberhasilan dan kesuksesan sang ibu dapat memberikan ASI eksklusif tidak terlepas dari pelaksanaan inisiasi menyusu dini sesaat setelah bayi lahir serta konsep menyususi on demand;
13;Manfaat asi bagi bayi, antara lain;Membantu proses involusi uterus;Keluarga lebih bahagia;Tumbuh kembang bayi lebih baik;Menurunkan angka kematian bayi;Mengurangi biaya pembelian susu ormula;3;Manfaat ASI bagi bayi adalah membantu tumbuh kembang bayi menjadi lebih baik. ASI merupakan makanan terbaik bagi bayi yang mudah dicerna dan diserap, lebih steril, segar dan aman. ASI mempunyai kmposisi dan volume yang cukup untuk pertumbuhan serta perkembangan bayi sampai dengan usia enam bulan. ASI yang pertama kali keluar hingga hari keempat disebutkolostrum. Kolostrum ini memiliki tekstur lebih kental dan berwarna kekuningan. Kolostrum mengandung banyak protein yang berfungsi sebagai antibodi bagi bayi. Kadar antibodi pada kolostrum sekitar 10-17 kali lebih tinggi dibanding ASI matur.;
14;Metode kontrasepsi ini dapat digunakan setiap saat pasca persalinan. Kontrasepsi ini tidak dapat mempengaruhi proses pemberian ASI dan dapat dijadikan pilihan sementara sebelum memilih kontrasepsi lain. Metode kontrasepsi ini adalah É.;AKDR;Diafragma;Kondom/spermisida;Kontrasepsi progestin;Implan;3;Metode kontrasepsi berupa kondom/spermisida tidak mempengaruhi proses menyusui dan biasa digunakan sebagai kontrasepsi sementara sebelum memilih metode lain. Kontrasepsi ini dapat membantu ibu dalam menangani vagina yang kering.;
15;Kontrasepsi pasca keguguran perlu dimulai segerakarena ovulasi dapat terjadisesudah terapi keguguran / abortus;15 hari;11 hari;11 bulan;12 hari;15 minggu;2;Kontrasepsi pasca keguguranharus segera dilakukan karena ovulasi dapat terjadi 11 hari sesudah terapi keguguran / abortus. Sebaiknya, bidan menjelaskan pada pasien bahwa kehamilan dapat terjadi sebelum haid berikutnya datang. Selain itu, bidan juga perlu menjelaskan metode kontrasepsi yang aman bagi pasien tersebut.;
16;Data yang diolah oleh Bidan Rita dapat disampaikan kepada masyarakat Desa X dalam pertemuanÉ..;Rembuk desa;Musyawarah masyarakat desa;Musyawarah masyarakat mufakat;Melakukan monitoring desa;Melakukan supervise desa;2;Setelah Bidan Rita mendapatkan data-data bahwa terjadi kesenjangan kesehatan di Desa X tersebut maka perlu diadakan pertemuan perwakilan desa yang disebut musyawarah masyarakat desa. Pertemuan ini membahas tentang hasil survey mawas diri dan merencanakan penanggulangan masalah kesehatan yang terjadi. Peserta yang harus hadir dalam pertemuan ini, antara lain tokoh masyarakat desa, petugas puskesmas (termasuk Bidan Rita), serta sektor terkait di tingkat desa dan kecamatan (seksi-seksi pemerintah, pembangunan, pertanian, agama, dan lain-lain). Masyarakat diajarkan untuk mengenal kesehatan di wilayahnya sehingga masyarakat sepakat untuk menanggulangi masalah kesehatan melalui pembentukan desa siaga. Selain itu, diharapkan masyarakat mampu menyusun kerangka rencana kerja untuk pelaksanaan desa siaga dan poskesdes (pos kesehatan desa).;
17;Penyebab kematian ibu di Desa X kemungkinan disebabkan olehÉ.;Pendidikan yang rendah;Pengetahuan yang minim;Tiga keterlambatan;Empat keterlambatan;Belum adanya suami siaga;4;Masalah angka kematian ibu di Desa X disebabkan oleh masyarakat yang masih terbiasa dengan pelayanan kesehatan yang sekadarnya sehingga mengabaikan risiko dalam kehamilan dan persalinan. Melihat kasus diatas makan diketahui masyarkat desa termasuk dalam bahaya empat keterlambatan, yakni masyarakat terlambat mengenali tanda bahaya kehamilan (termasuk kesehatan ibu dan janin tahap awal-ketika masih adanya tradisi pantang mengonsumsi makanan tertentu bagi ibu hamil), keluarga pasien terlambat mengambil keputusan dalam memilih pelayanan kesehatan untuk perawatan kehamilan, keterlambatan untuk mencapai fasilitas kesehatan, dan keterlambatan mendapatkan pertolongan di fasilitas kesehatan karena masyarakat hanya memanfaatkan tenaga dukun yang belum berkoodinasi dengan pihak tenaga kesehatan. Oleh karena itu, masalah ini harus dianggap serius agar mampu mengurangi angka kematian ibu dan bayi.;
18;Jika bidan Rita ingin melakukan kunjungan pada masyarakat desa maka kunjungan yang dilakukan termasuk dalamÉÉÉ;Pelayanan kunjungan rumah;Penyuluh kepada masyarakat ;Pembentukan desa siaga;Pembentukan GSI (Gerakan Sayang Ibu);Pembinaan kader;4;"GSI (Gerakan Sayang Ibu) dibentuk oleh masyarakat yang bekerja sama dengan petugas kesehatan dan pemerintah untuk meningkatkan kualitas hidup melalui penurunan angka kematian ibu dan bayi. Secara spesifik, terhadap tujuan khusus dari GSI di Desa X dalam konteks sebagai berikut:
¥ Meningkatkan pengembangan dana ibu hamil di Desa X oleh PKK dan Lembaga Kesehatan Masyarakat Desa (LKMD)
¥ Meningkatkan pengetahuan dan kepedulian pejabat pemerintah Desa X dan sektor terkait tentang berbagai faktor yang menyebabkan kematian ibu serta peningkatan upaya penanggulangannya secara integrative.
¥ Menyiapkan desa siaga dalam melakukan mekanisme rujukan sehingga keterlambatan pertolongan dapat dihindari.
¥ Meningkatkan upaya masyarakat Desa X dalam pendapatan ibu hamil dan mengubah budaya yang dapat membahayakan kesehatan ibu hamil.
¥ Meningkatkan peran institusi petugas kesehatan Desa X dalam pendataan ibu hamil dan mengubah budaya yang dapat membahayakan kesehatan ibu hamil.
¥ Meningkatkan peran institusi petugas kesehatan Desa X dalam upaya pendataan ibu hamil dan pelayanan kesehatan yang komprehensif.
";
19;"Kasus dibawah ini untuk soal nomor 366-370
Ny. Sari adalah seorang ibu rumah tangga yang berusia 39 tahun, status obstetric G6P5AO, usia kehamilan 6 bulan, dan mengalami anemia ringan. Semua persalinan yang lalu ditangani oleh dukun. Selama ini, ibu belum pernah menggunakan alat kontrasepsi. Anak keempat tercatat sebagai balita BGM. Anak-anaknya sering hanya diberi makanan berupa nasi dan kecap. Sementara itu, anak kelima baru berusia 11 bulan dan belum pernah diimunisasi, namun ibu masih memberikan ASI. Di rumah pasien terdapat banyak sampah, kecoa, dan tikus. Selain itu, pekerjaan suami Ny. Sari sekarang ini adalah seorang buruh tani.
Penyuluh yang tepat bagi Ny. Sari adalah......";Penyuluh tentang gizi seimbang untuk keluarga;Penyuluh tentang istirahat bagi ibu hamil;Pentingnya pemeriksaan ibu hamil;KEI tentang tanda bahaya dalam masa kehamilan;Penyuluh tentang perawatan balita di rumah;1;"Penyuluh tentang gizi seimbang untuk keluarga sangat diperlukan agar ibu bisa mengetahui dan memahami tentang penyediaan makan yang bergizi bagi balita dan anggota keluarga yang lain. Gizi yang baik digunakan sebagai unsur pendukung terbentuknya manusia yang berkualitas. Oleh karena itu, perlu sedini mungkin untuk memperhatikan pemenuhan gizi anak, bahkan sejak anak masih dalam kandungan. Media penyuluhan yang didapat digunakan adalah lembar balik perpaduan gambar (visual) dan tulisan. Hasil evaluasi yang diharapkan dari ibu tersebut dijabarkan sebagai berikut:
¥ Ibu termotivasi untuk menerapkan pola hidup sehat diri dan tetap menjaga kesehatan diri dan keluarga
¥ Ibu mampu memahami cara menjaga kesehatan diri dan keluarga
¥ Ibu memahami keuntungan yang didapatkan apabila ia dan keluarganya sehat.
¥ Membantu pertumbuhan serta perkembangan anak dan keluarga menjadi lebih baik.
";
20;Ny. S usia 30 tahun G3P1A0 sedang dalam inpartu kala II di Bidan Praktik Mandiri. Ny. S terlihat lelah. Bidan sudah memimpin persalinan selama setengah jam, tidak ada kemajuan penurunan kepala bayi. Kepala bayi masih di H III, DJJ 145x/menit. Posisi yang tepat untuk menyelesaikan sesuai kasus adalah ......;Jongkok;telentang;merangkak;setengah duduk;berbaring miring ke kiri;1;"Stase     : asuhan persalinan
Kunci masalah    : posisi meneran
Kompetensi    : keterampilan klinis dalam praktik kebidanan
Tinjauan (sub kompetensi)  : implementasi
Konsep teori   : menurut Aprilia (2017), posisi jongkong dapat meluruskan jalan lahir karena membantu tulang pangul untuk sejajar dengan jalan lahir. Selain itu, juga membantu memperpanjang tubuh ibu sehingga dapat memberikan ruang yang lebih banyak kepada bayi untuk masuk ke posisi yang lebih baik.
Penyelesaian   : posisi yang dibutuhkan sesuai kasus adalah yang dapat membantu penurunan kepala bay. Posisi jongkok dapat membantu karena memberikan ruang pada bayi untuk masuk ke posisi yang lebih baik.
";
21;Ny. R usia 37 tahun P4A0 datang ke RS dengan keluhan ingin KB dan tidak ingin punya anak lagi. Ny. R mengatakan pernah menggunakan alat kontrasepsi spiral tetapi tidak cocok. Jenis KB yang cocok untuk Ny. R adalah ÉÉ.;IUD;kondom;implan;vasektomi;tubektomi;5;"Stase     : asuhan keluarga berencana
Kunci masalah    : pemilihan kontrasepsi
Kompetensi    : komunikasi efektif
Tinjauan (sub kompetensi)  : konseling dan pendidikan kesehatan
Konsep teori   : menurut Affandi (2014), kontrasepsi yang sesuai untuk perempuan yang berusia lebih dari 35 tahun dan tidak ingin menambah anak lagi adalah kontrasepsi mantap. Tubektomi adalah metode kontrasepsi untuk perempuan yang tidak ingin anak lagi. Tubektomi termasuk metode efektif dan tidak menimbulkan efek samping jangka panjang. Ibu dengan paritas >2 dapat menjalani tubektomi.
Penyelesaian   : Ny. R sebaiknya menggunakan tubektomi karena sudah memenuhi syarat untuk kontarsepsi mantap.
";
22;Ny. J usia 30 tahun baru saja melahirkan bayinya di RS hasil pemeriksaan bayi: bayi menangis spontan, kulit kemerahan, TTV normal, terdapat tanda krepitasi pada tulanng kiavikula. Kasus pada bayi Ny. S disebabkan oleh É.;partus macet;parus tidak maju;makrosomia;distosia bahu;episiotomi;4;"Penyelesaian   : Ny. R sebaiknya menggunakan tubektomi karena sudah memenuhi syarat untuk kontarsepsi mantap.
Stase     : asuhan bayi baru lahir
Kunci masalah    : komplikasi distosis bahu
Kompetensi    : landasan ilmiah praktik kebidanan
Tinjauan (sub kompetensi)  : diagnosa
Konsep teori   : komplkasi distosia bahu pada janin adalah fraktur tulang (klavikula dan humereus), cidera pleksus brakhalisis, dan hipoksia yang dapat menyebabkan kerusakan permanen di otak. (Saifuddin,2010)
Penyelesaian   : tanda krepitasi pada tulang klavikula menunjukan adanya fraktur pada tulang tersebut, hal itu dapat disebabkan oleh distosia bahu.
";
23;Ny. A baru saja melahirkan anak pertamanya di RS. Bayi menangis spontan, kulit kemerahan, jenis kelamin laki-laki. Pada hasil pemeriksaan ditemukan bahwa lubang penis berada dibawah penis dan penis melengkung ke bawah. Kelainan pada bayi Ny. A tersebut ....;fimosis;hipospadia;omfalokel;hirschsprung;milliarlasis;2;"Stase     : asuhan bayi baru lahir
Kunci masalah    : kelainan alat reproduksi
Kompetensi    : landasan ilmiah praktik kebidanan
Tinjauan (sub kompetensi)  : diagnosa
Konsep teori   : tanda gejala hipospadia menurut Putra (2012), yaitu lubang penis tidak terdapat di ujung penis, tetapi berada dibawah atau di dasar penis, penis melengkung kebawah, penis tampak seperti berkerudung karena adanya kelainan pada kulit depan penis, jika berkemih anak harus duduk.
Penyelesaian   : tanda gejala menunjukan kelainaan hipospadia.
";
24;Seorang ibu berusia 34 tahun dengan G2P1A0 usia kehamilan 38 minggu datang ke BPM dengan keluhan perutnya sudah merasa ingin meneran. Dari vagina keluar cairan berwarna putih keruh. Berdasarkan hasil pemeriksaan diketahui bahwa tanda - tanda vital dalam batas normal keadaan umum baik, his 4 x/ menit hasil pemeriksaan dalam portio tidak teraba, ketuban (-), presentasi kepala, posisi UUK depan, penurunan HIII dan moulage tidak ada. rencana asuhan kebidanan pada pasien tersebut adalah;Menggunakan APD, cuci tangan dan menyiapkan alat;Informed consent dan bimbing meneran saat ada his;Medekatkan alat, pakai APD dan melakukan PD ulang;Informasikan hasil pemeriksaan;Informed consent dan pimpin partus normal;5;Rencana asuhan kebidanan yang tepat pada pasien tersebut adalah dengan mengadakan informed consent dan memimpin partus normal. Informed consent dibuat untuk mendapatkan persetujuan pasien atau keluarga tentang tindakan medis yang akan dilaksanakan seperti persalinan normal atau dengan operasi.;
25;Seorang perempuan berusia 24 tahun hamil anak pertama dengan usia kehamilan 38 minggu saat ini mengeluh sering keluar darah lendir dari vagina dan perut terasa mulas. Berdasarkan pemeriksaan KU pasien baik, TTV normal his 4 kali dalam 10 menit, TFU 33 cm DJJ 146 kali/ menit, PD v/u tidak ada kelainan, portio lunak, pembukaan 8 cm, ketuban (+), presentasi kepala 3/5, posisi UUK kanan depan penurunan HIII dan moulage tidak ada. Rencana asuhan kebidanan untuk persalinan pasien tersebut adalah;Observasi his, DJJ dan kemajuan persalinan;Obsevasi his dan DJJ;Observasi KU, TTV dan DJJ;Observasi his, DJJ, PD 2 jam kemudian ;Observasi KU, TTV dan his;1;Observasi bertujuan untuk memantau kemajuan persalinan atau penurunan kepala pada saat pembukaan. Pemantauan his adekuat dilakukan setiap 30 menit dan pemeriksaan DJJ bertujuan untuk mengetahui kondisi janin, posisi persalinan serta memantau tindakan selanjutnya jika terjadi gawat janin. Sementara itu, pemantauan kemajuan persalinan dengan partograf bertujuan untuk perencanaan meneran agar bayi dapat menemukan jalan lahir ;
26;Seorang ibu hamil berusia 30 tahun G4P1A2 usia kehamilan 32 minggu datang ke BPM dengan keluhan perdarahan banyak dari jalan lahir sejak 1 jam yang lalu. Ibu mengatakan perutnya terasa mulas. Berdasarkan hasil pemeriksaan didapatkan TFU 31 cm, kepala teraba belum masuk PAP dan DJJ 134x/ menit. Perdarahan yang keluar terlihat berwarna merah kehitaman. Tindakan awal yang harus dilakukan pada kasus tersebut adalah ;Memberikan O2;Memberikan cairan RL;Mempersiapkan rujukan;Memantau perdarahan;Tirah baring;3;Memeriksakan dan merujuk pasien yang mengalami perdarahan dari jalan lahir harus dilakukan untuk mencegah komplikasi persalinan. Segera rujuk pasien perdarahan kerumah sakit terdekat untuk mendapatkan penanganan dengan fasilitas yang lengkap dan memiliki prinsip pelayanan asuhan sayang ibu yang lebih komprehensif. ;
27;Perempuan usia 29 tahun postpartum 4 minggu datang ke praktik bidan mengeluh nyeri pada tungkai. Dari hasil pemeriksaan didapatkan suhu tubuh 39¡C dan homan sign (+). Diagnosis yang tepat pada kasus tersebut adalah ;Parametritis;Endometritis;Tromboflebitis;Infeksi nifas;Peritonitis;3;Tromboflebitis merupakan terjadinya penggumpalan darah dalam pembuluh darah vena sehingga menimbulkan peradangan. Tromboflebitis yang dialami pasien tersebut adalah tromboflebitis femoralis karena menyerang pembuluh darah vena tungkai;
28;Ibu usia 31 tahun melahirkan anak ke 3 dua minggu yang lalu datang ke praktik bidan dengan keluhan demam dan nyeri di bagian bawah perut serta keluar darah agak berbau busuk selama 4 hari. Hasil pemeriksaan fisik diketahui suhu tubuh 38,5¡C, TD 110/70 HR 83  x/ menit. TFU berada pada pertengahan simfisis pusat. Diagnosis yang paling tepat pada kasus tersebut adalah;Sistitis;Metritis;Mastitis;Peritonitis;Pielonefritis;2;Metritis disebabkan oleh kuman yang masuk ke dalam alat - alat genital ketika proses persalinan dan nifas sehingga menimbulkan peradangan pada uterus. Infeksi ini ditandai dengan adanya Lochea dan nyeri abdomen bagian bawah;
29;Seorang wanita umur 23 tahun datang ke BPM dengan keluhan sering mual terutama pada pagi hari dan kadang disertai muntah. Klien mengatakan bahwa dirinya sudah terlambat haid sejak 2 bulan yang lalu. Sebagai seorang bidan saran apakah yang sebaiknya anda berikan untuk mengatasi masalah diatas;Menganjurkan ibu untuk makan makanan ringan tinggi kalsium saat bangun pagi;Menganjurkan ibu untuk makan makanan ringan tinggi lemak saat bangun pagi;Menganjurkan ibu makan makanan ringan tinggi karbohidrat saat bangun pagi;Menganjurkan ibu makan makanan ringan tinggi protein saat bangun pagi;Menganjurkan ibu makan makanan ringan tinggi zat besi saat bangun pagi;3;Dari beberapa keluhan pasien yang mengatakan mual dan muntah maka saran yang dianjurkan bidan untuk mengatasi keluhan tersebut adalah dengan mengonsumsi makanan ringan tinggi karbohidrat saat bangun pagi misalnya crackers,kue beras atau cokelat yang dapat membantu menghilangkan rasa mual. Disamping itu pasien dianjurkan untuk makan sesering mungkin walaupun dalam porsi yang kecil dimana tujuannya agar nutrisi ibu dan janin tetap tercukupi;
30;Pemberian ASI awal dilakukan pada kunjungan;Kunjungan awal;Kunjungan I;Kunjungan II;Kunjungan III;Kunjungan IV;2;Pemberian ASI awal diberikan pada kunjungan I. Tujuan pemberian ASI awal adalah untuk mendapatkan ASI pertama (kolostrum)  yang mengandung beberapa antibodi sehingga mencegah infeksi pada bayi. ASI diperkirakan dapat mengirimkan limfosit ibu ke dinding usus bayi dan memulai proses imunologik sehingga memberikan imunitas pasif pada bayi terhadap penyakit infeksi tertentu sampai mekanisme itu sepenuhnya berfungsi yaitu setelah 3 sampai 4 bulan;
31;Seorang dianggap mampu untuk memberikan persetujuan tindakan medis apabila telah memenuhi syarat ;Usia anak - anak ;Dalam pengampunan ;Berusia ³ 21 tahun;Usia remaja ;Semua jawaban benar;3;Seseoarang dianggap mampu untuk memberikan persetujuan tindakan medis apabila telah berusia ³ 21 tahun;
32;Persetujuan tindakan medis diberikan dengan cara;Lisan ;Tertulis;Komunikasi langsung ;Tersirat;Semua Benar;2;Setiap tindakan medis harus memperoleh persetujuan pasien atau keluarga secara tertulis dan ditanda tangani oleh pemberi tindakan dan keluarga penerima tindakan;
33;Pengembangan peran bidan didasari oleh pengembangan ;Fungsi dan karier bidan;Kesesuaian dengan prosedur asuhan;Tugas dan tanggung jawab bidan;Karier bidan dan jabatan fungsionalnya;Ketelitian dan ketelatenan bidan melakukan asuhan;4;Pengembangan karier bidan meliputi karier fungsional dan karier struktural. Dalam pengembangan karier secara fungsional bidan yang telah mengikuti pendidikan secara formal dan nonformal akan diberikan jabatan fungsional. ;
34;Seorang pasien ibu usia 29 tahun telah menikah selama 9 bulan datang mengunjungi klinik bersalin. Pasien mengatakan belum mau mempunyai anak karena masih terikat kontrak dengan tempatnya bekerja. Suami pasien bekerja diluar kota dan menggunakan KB kondom. Hasil anamnesis pasien suami mempunyai riwayat ejakulasi dini. Efek samping penggunaan KB tersebut adalah;Keputihan;Ekspulsi;Infeksi saluran uretra ;Timbul cairan vagina yang berbau;Reaksi alergi;5;Reaksi alergi dapat ditimbulkan jika pasangan mempunyai sensitifitas terhadap bahan lateks/ karet yang merupakan bahan dasar dari kondom. Apabila pengguna memiliki alergi terhadap bahan lateks maka akan timbul iritasi. Jika bahan lateks kondom dikombinasikan dengan spermisida makan akan timbul nyeri yang hebat. Oleh karena itu pengguna kondom harus memilih kondom yang berbahan netral seperti poliuretan. Jika terus digunakan biasanya akan menyebabkan ejakulasi dini.;
35;Ibu berusia 30 tahun memiliki 2 anak dengan usia anak pertama 8 tahun dan anak kedua berusia 3 bulan. Pasien datang ke BPM mengatakan bahwa ia tidak ingin memiliki anak 3 tahun kedepan. Pasien mengatakan ingin menggunakan kontrasepsi implan dengan satu batang kapsul saja karen ia adalah wanita karier klien mengatakan takut nanti alat kontrasepsi dapat menggangunya beraktifitas. Hasil pemeriksaan diketahui tanda - tanda vital dalam batas normal. Saat ini pasien haid hari ke dua. Jika pasien menggunakan kotrasepsi implan dalam jangka waktu tersebut kandungan kontrasepsi yang sesuai dengan keinginan pasien adalah;36 levonorgestrel;75 levogestrel + 36 keto-desogestrel;75 levonogestrel;68 levogestrel + 3 keto-desogestrel;36 levonogestrel + 3 keto-desogestel;4;Berdasarkan permintaan pasien maka bidan dapat menyarankan ibu untuk menggunakan kontrasepsi implan berbahan implanon yang mengandung 68 levogestrel + 3 keto-desogestrel yang efektif untuk 3 tahun kedepan.;
